Gender,Age,Frequency,Personality,Type,Mindset,Occasion,Perfume
female,10to20,subtle,adventurous,extrovert,Oldfangled,workplace,A
male,10to20,medium,unadventurous,extrovert,Modernist,party,E
female,10to20,strong,unadventurous,introvert,Oldfangled,party,A
female,40 or more,medium,unadventurous,extrovert,Oldfangled,party,D
female,40 or more,medium,unadventurous,extrovert,Oldfangled,home,B
male,20to40,medium,adventurous,introvert,Oldfangled,workplace,B
female,10to20,medium,unadventurous,extrovert,Oldfangled,workplace,C
female,40 or more,subtle,unadventurous,extrovert,Oldfangled,party,C
female,10to20,strong,adventurous,extrovert,Oldfangled,home,C
female,40 or more,strong,adventurous,extrovert,Modernist,party,D
male,40 or more,strong,unadventurous,extrovert,Modernist,party,D
male,40 or more,subtle,unadventurous,extrovert,Oldfangled,home,B
male,20to40,subtle,adventurous,extrovert,Oldfangled,home,D
female,40 or more,medium,unadventurous,extrovert,Modernist,workplace,E
male,10to20,subtle,adventurous,introvert,Oldfangled,workplace,C
male,20to40,medium,unadventurous,extrovert,Modernist,home,C
male,10to20,medium,unadventurous,extrovert,Oldfangled,workplace,E
male,40 or more,strong,unadventurous,introvert,Modernist,party,B
male,40 or more,medium,adventurous,introvert,Oldfangled,party,A
female,10to20,medium,adventurous,extrovert,Oldfangled,home,D
male,40 or more,strong,adventurous,extrovert,Oldfangled,home,C
female,40 or more,strong,adventurous,introvert,Modernist,party,C
female,10to20,medium,adventurous,introvert,Modernist,party,D
female,10to20,medium,unadventurous,introvert,Modernist,party,E
female,20to40,strong,unadventurous,introvert,Oldfangled,workplace,B
female,40 or more,medium,adventurous,extrovert,Modernist,workplace,D
female,40 or more,strong,adventurous,introvert,Modernist,party,A
female,10to20,medium,adventurous,introvert,Modernist,home,B
female,40 or more,medium,unadventurous,introvert,Oldfangled,home,E
male,20to40,subtle,adventurous,introvert,Oldfangled,home,A
female,40 or more,medium,unadventurous,extrovert,Oldfangled,home,E
male,10to20,subtle,adventurous,extrovert,Modernist,party,A
male,20to40,medium,adventurous,introvert,Oldfangled,workplace,E
female,40 or more,subtle,unadventurous,extrovert,Oldfangled,workplace,B
male,40 or more,medium,adventurous,extrovert,Oldfangled,party,A
male,40 or more,strong,adventurous,introvert,Modernist,home,C
male,20to40,subtle,unadventurous,introvert,Modernist,workplace,C
male,10to20,strong,unadventurous,extrovert,Modernist,party,B
female,40 or more,medium,adventurous,extrovert,Oldfangled,home,D
male,10to20,strong,adventurous,introvert,Modernist,party,E
male,20to40,strong,unadventurous,introvert,Modernist,home,D
male,20to40,subtle,unadventurous,introvert,Modernist,workplace,A
male,40 or more,medium,unadventurous,introvert,Oldfangled,party,D
male,40 or more,strong,unadventurous,introvert,Modernist,party,E
male,10to20,strong,unadventurous,introvert,Oldfangled,workplace,D
male,10to20,subtle,adventurous,introvert,Modernist,party,B
male,40 or more,strong,adventurous,introvert,Oldfangled,party,E
female,40 or more,strong,adventurous,introvert,Oldfangled,workplace,A
male,20to40,strong,unadventurous,extrovert,Oldfangled,home,E
male,20to40,subtle,unadventurous,introvert,Oldfangled,home,C
female,20to40,strong,unadventurous,introvert,Oldfangled,workplace,E
female,40 or more,medium,adventurous,extrovert,Oldfangled,party,C
female,10to20,strong,adventurous,extrovert,Modernist,workplace,D
male,20to40,medium,adventurous,extrovert,Modernist,party,B
male,20to40,strong,unadventurous,introvert,Modernist,party,C
male,40 or more,subtle,unadventurous,extrovert,Oldfangled,workplace,C
female,10to20,medium,adventurous,introvert,Modernist,home,E
male,20to40,subtle,unadventurous,introvert,Oldfangled,home,A
male,10to20,strong,unadventurous,extrovert,Oldfangled,workplace,B
female,40 or more,subtle,unadventurous,extrovert,Oldfangled,workplace,E
male,40 or more,subtle,unadventurous,introvert,Modernist,home,A
male,20to40,subtle,adventurous,introvert,Modernist,workplace,B
male,40 or more,subtle,adventurous,extrovert,Modernist,home,C
female,20to40,medium,adventurous,introvert,Oldfangled,workplace,A
male,40 or more,medium,unadventurous,introvert,Modernist,workplace,E
female,20to40,subtle,unadventurous,extrovert,Modernist,home,A
female,10to20,medium,unadventurous,extrovert,Oldfangled,workplace,D
female,40 or more,subtle,unadventurous,extrovert,Oldfangled,party,D
female,10to20,strong,adventurous,extrovert,Oldfangled,home,D
female,40 or more,strong,unadventurous,extrovert,Oldfangled,workplace,C
female,10to20,medium,adventurous,introvert,Oldfangled,workplace,C
female,10to20,medium,unadventurous,introvert,Oldfangled,home,A
male,10to20,subtle,unadventurous,introvert,Modernist,workplace,C
female,40 or more,medium,unadventurous,introvert,Oldfangled,party,B
female,40 or more,subtle,unadventurous,introvert,Modernist,workplace,C
female,10to20,subtle,unadventurous,extrovert,Oldfangled,workplace,C
female,40 or more,medium,unadventurous,extrovert,Oldfangled,party,B
female,10to20,medium,adventurous,introvert,Oldfangled,workplace,A
male,10to20,subtle,adventurous,introvert,Oldfangled,workplace,D
male,20to40,medium,unadventurous,extrovert,Modernist,home,D
female,20to40,strong,unadventurous,extrovert,Oldfangled,party,A
male,40 or more,medium,unadventurous,introvert,Oldfangled,home,E
male,40 or more,strong,adventurous,extrovert,Oldfangled,home,D
male,20to40,medium,adventurous,extrovert,Modernist,party,E
female,10to20,subtle,unadventurous,extrovert,Modernist,workplace,D
male,10to20,subtle,unadventurous,extrovert,Modernist,workplace,C
male,10to20,strong,unadventurous,extrovert,Oldfangled,workplace,E
male,10to20,medium,unadventurous,introvert,Oldfangled,workplace,E
male,40 or more,medium,unadventurous,extrovert,Modernist,party,A
female,40 or more,strong,adventurous,extrovert,Modernist,party,B
male,20to40,subtle,adventurous,introvert,Modernist,workplace,E
male,40 or more,strong,adventurous,introvert,Modernist,home,D
male,20to40,strong,adventurous,introvert,Oldfangled,workplace,C
male,20to40,subtle,unadventurous,introvert,Modernist,workplace,D
male,40 or more,medium,adventurous,extrovert,Modernist,home,C
male,20to40,subtle,adventurous,introvert,Oldfangled,party,C
female,10to20,medium,adventurous,introvert,Modernist,party,B
male,10to20,subtle,unadventurous,extrovert,Oldfangled,home,C
female,40 or more,medium,adventurous,extrovert,Modernist,workplace,B
female,40 or more,medium,unadventurous,introvert,Oldfangled,party,E
male,20to40,medium,adventurous,extrovert,Oldfangled,workplace,E
female,40 or more,strong,unadventurous,extrovert,Oldfangled,home,C
male,20to40,subtle,unadventurous,introvert,Oldfangled,home,D
female,40 or more,medium,adventurous,extrovert,Oldfangled,party,D
male,20to40,strong,unadventurous,introvert,Modernist,party,D
male,20to40,subtle,unadventurous,extrovert,Modernist,workplace,A
male,40 or more,subtle,unadventurous,extrovert,Oldfangled,workplace,D
female,40 or more,medium,adventurous,extrovert,Oldfangled,home,B
female,40 or more,strong,adventurous,extrovert,Modernist,party,E
male,40 or more,strong,unadventurous,extrovert,Modernist,party,E
male,20to40,strong,unadventurous,introvert,Modernist,home,B
male,10to20,strong,adventurous,introvert,Modernist,workplace,C
male,20to40,subtle,adventurous,extrovert,Oldfangled,home,E
female,40 or more,strong,unadventurous,introvert,Modernist,home,C
male,40 or more,subtle,adventurous,extrovert,Modernist,home,D
male,40 or more,medium,unadventurous,introvert,Oldfangled,party,B
male,20to40,subtle,unadventurous,introvert,Oldfangled,party,C
female,10to20,medium,adventurous,extrovert,Oldfangled,home,E
male,10to20,strong,unadventurous,introvert,Oldfangled,workplace,B
female,40 or more,strong,unadventurous,extrovert,Oldfangled,workplace,D
female,10to20,medium,adventurous,introvert,Oldfangled,workplace,D
female,40 or more,medium,adventurous,extrovert,Modernist,workplace,E
male,20to40,subtle,unadventurous,extrovert,Oldfangled,home,A
male,10to20,subtle,unadventurous,introvert,Modernist,workplace,D
female,10to20,strong,adventurous,extrovert,Modernist,workplace,B
female,40 or more,subtle,unadventurous,introvert,Modernist,workplace,D
female,10to20,subtle,unadventurous,extrovert,Oldfangled,workplace,D
female,40 or more,subtle,adventurous,extrovert,Oldfangled,home,C
male,10to20,strong,adventurous,introvert,Oldfangled,home,C
female,20to40,medium,unadventurous,introvert,Modernist,home,C
female,20to40,medium,adventurous,extrovert,Oldfangled,home,C
female,40 or more,strong,adventurous,extrovert,Oldfangled,workplace,E
female,10to20,strong,adventurous,extrovert,Oldfangled,party,D
female,20to40,medium,unadventurous,introvert,Modernist,home,A
male,20to40,subtle,adventurous,extrovert,Oldfangled,workplace,A
female,10to20,medium,unadventurous,extrovert,Oldfangled,workplace,B
male,20to40,strong,unadventurous,extrovert,Modernist,home,A
female,40 or more,subtle,unadventurous,extrovert,Oldfangled,party,B
female,40 or more,medium,adventurous,extrovert,Oldfangled,home,E
male,10to20,subtle,unadventurous,extrovert,Modernist,workplace,D
female,10to20,strong,adventurous,extrovert,Oldfangled,home,B
female,20to40,medium,adventurous,extrovert,Oldfangled,home,A
female,10to20,medium,adventurous,extrovert,Oldfangled,workplace,A
male,20to40,strong,unadventurous,introvert,Modernist,home,E
female,20to40,subtle,unadventurous,extrovert,Oldfangled,workplace,C
male,40 or more,medium,unadventurous,introvert,Oldfangled,party,E
male,10to20,subtle,adventurous,introvert,Oldfangled,workplace,B
male,20to40,strong,adventurous,introvert,Oldfangled,workplace,D
female,10to20,subtle,adventurous,extrovert,Oldfangled,workplace,E
male,40 or more,medium,adventurous,extrovert,Modernist,home,D
male,10to20,strong,unadventurous,introvert,Oldfangled,workplace,E
male,20to40,medium,unadventurous,extrovert,Modernist,home,B
male,20to40,subtle,adventurous,introvert,Oldfangled,party,D
female,10to20,strong,unadventurous,introvert,Oldfangled,party,E
male,40 or more,subtle,unadventurous,introvert,Oldfangled,workplace,A
male,40 or more,strong,adventurous,extrovert,Oldfangled,home,B
female,20to40,subtle,unadventurous,extrovert,Oldfangled,workplace,A
female,10to20,strong,adventurous,extrovert,Modernist,workplace,E
male,10to20,subtle,unadventurous,extrovert,Oldfangled,home,D
female,10to20,subtle,unadventurous,extrovert,Modernist,workplace,B
male,40 or more,medium,adventurous,introvert,Modernist,home,C
female,20to40,subtle,unadventurous,introvert,Modernist,workplace,C
female,40 or more,strong,unadventurous,extrovert,Oldfangled,home,D
female,20to40,subtle,adventurous,extrovert,Oldfangled,workplace,C
male,10to20,subtle,unadventurous,introvert,Oldfangled,home,C
female,10to20,medium,adventurous,extrovert,Modernist,workplace,A
male,40 or more,strong,adventurous,introvert,Modernist,home,B
female,20to40,subtle,unadventurous,introvert,Modernist,workplace,A
female,40 or more,subtle,unadventurous,extrovert,Oldfangled,party,E
male,20to40,subtle,unadventurous,introvert,Modernist,workplace,B
male,10to20,subtle,unadventurous,extrovert,Oldfangled,party,C
female,10to20,strong,adventurous,extrovert,Oldfangled,home,E
female,20to40,subtle,adventurous,extrovert,Oldfangled,workplace,A
male,10to20,subtle,unadventurous,introvert,Oldfangled,home,A
male,10to20,strong,adventurous,introvert,Modernist,workplace,D
female,40 or more,strong,unadventurous,introvert,Modernist,home,D
male,10to20,subtle,adventurous,introvert,Oldfangled,workplace,E
male,20to40,medium,unadventurous,extrovert,Modernist,home,E
male,20to40,subtle,unadventurous,introvert,Oldfangled,party,D
male,20to40,strong,unadventurous,extrovert,Oldfangled,party,A
female,40 or more,strong,adventurous,introvert,Modernist,party,E
female,20to40,subtle,unadventurous,introvert,Oldfangled,home,A
male,20to40,subtle,unadventurous,introvert,Oldfangled,home,B
female,40 or more,medium,adventurous,extrovert,Oldfangled,party,B
male,20to40,subtle,adventurous,introvert,Oldfangled,home,E
male,10to20,strong,adventurous,extrovert,Modernist,workplace,C
male,20to40,strong,unadventurous,introvert,Modernist,party,B
male,40 or more,subtle,unadventurous,extrovert,Oldfangled,workplace,B
female,40 or more,subtle,adventurous,extrovert,Oldfangled,home,D
male,10to20,strong,adventurous,introvert,Oldfangled,home,D
female,10to20,subtle,adventurous,extrovert,Modernist,party,A
female,20to40,medium,unadventurous,introvert,Modernist,home,D
male,20to40,subtle,unadventurous,extrovert,Oldfangled,party,C
male,10to20,strong,adventurous,extrovert,Modernist,workplace,A
female,20to40,medium,adventurous,extrovert,Oldfangled,home,D
male,40 or more,subtle,adventurous,extrovert,Modernist,home,B
male,20to40,medium,adventurous,extrovert,Modernist,home,C
male,20to40,subtle,unadventurous,introvert,Modernist,workplace,E
male,20to40,subtle,unadventurous,extrovert,Oldfangled,party,A
female,40 or more,subtle,adventurous,introvert,Oldfangled,home,C
female,40 or more,strong,unadventurous,extrovert,Oldfangled,workplace,B
female,10to20,medium,adventurous,introvert,Oldfangled,workplace,B
male,10to20,strong,adventurous,extrovert,Oldfangled,home,C
female,20to40,medium,unadventurous,introvert,Modernist,party,C
male,10to20,subtle,unadventurous,introvert,Modernist,workplace,B
female,40 or more,strong,adventurous,introvert,Oldfangled,workplace,E
female,20to40,subtle,unadventurous,extrovert,Oldfangled,workplace,D
male,20to40,subtle,adventurous,introvert,Oldfangled,workplace,A
female,40 or more,subtle,unadventurous,introvert,Modernist,workplace,B
female,10to20,subtle,unadventurous,extrovert,Oldfangled,workplace,B
male,10to20,strong,adventurous,extrovert,Oldfangled,home,A
female,20to40,medium,unadventurous,extrovert,Modernist,home,A
female,20to40,subtle,adventurous,extrovert,Oldfangled,home,A
male,20to40,subtle,unadventurous,introvert,Oldfangled,home,E
female,40 or more,medium,adventurous,extrovert,Oldfangled,party,E
female,10to20,strong,adventurous,extrovert,Oldfangled,party,B
female,20to40,strong,unadventurous,extrovert,Modernist,home,C
female,20to40,subtle,unadventurous,extrovert,Modernist,home,E
female,40 or more,subtle,unadventurous,introvert,Oldfangled,party,D
male,40 or more,subtle,unadventurous,extrovert,Oldfangled,workplace,E
male,40 or more,medium,adventurous,introvert,Modernist,home,D
male,10to20,subtle,unadventurous,extrovert,Modernist,workplace,B
male,10to20,medium,adventurous,introvert,Oldfangled,workplace,C
male,40 or more,strong,adventurous,extrovert,Modernist,workplace,C
female,10to20,medium,unadventurous,introvert,Oldfangled,home,E
female,20to40,subtle,adventurous,extrovert,Oldfangled,workplace,D
male,10to20,subtle,unadventurous,introvert,Oldfangled,home,D
female,10to20,strong,adventurous,introvert,Oldfangled,home,A
male,20to40,strong,adventurous,introvert,Oldfangled,workplace,B
male,40 or more,strong,adventurous,extrovert,Modernist,workplace,A
male,10to20,strong,adventurous,introvert,Oldfangled,workplace,B
male,40 or more,medium,adventurous,extrovert,Modernist,home,B
male,10to20,subtle,unadventurous,extrovert,Oldfangled,party,D
male,20to40,subtle,adventurous,introvert,Oldfangled,party,B
female,10to20,medium,adventurous,introvert,Oldfangled,workplace,E
female,20to40,strong,unadventurous,extrovert,Oldfangled,party,E
female,10to20,strong,unadventurous,introvert,Oldfangled,workplace,C
male,10to20,subtle,unadventurous,introvert,Modernist,workplace,E
male,10to20,subtle,unadventurous,extrovert,Oldfangled,home,B
female,40 or more,medium,adventurous,introvert,Oldfangled,home,C
female,40 or more,subtle,unadventurous,introvert,Modernist,workplace,E
female,10to20,subtle,unadventurous,extrovert,Oldfangled,workplace,E
male,10to20,subtle,unadventurous,introvert,Oldfangled,party,C
female,40 or more,strong,unadventurous,extrovert,Oldfangled,home,B
female,20to40,strong,adventurous,introvert,Modernist,workplace,C
male,10to20,strong,adventurous,extrovert,Modernist,workplace,D
male,10to20,subtle,unadventurous,extrovert,Modernist,workplace,E
female,20to40,subtle,unadventurous,introvert,Oldfangled,party,C
female,40 or more,strong,unadventurous,introvert,Modernist,party,D
male,20to40,subtle,unadventurous,extrovert,Oldfangled,party,D
female,20to40,strong,adventurous,introvert,Modernist,workplace,A
male,10to20,strong,adventurous,introvert,Modernist,workplace,B
male,40 or more,medium,adventurous,introvert,Oldfangled,workplace,C
female,10to20,medium,adventurous,extrovert,Oldfangled,party,A
female,40 or more,strong,unadventurous,introvert,Modernist,home,B
male,20to40,strong,adventurous,introvert,Oldfangled,workplace,E
male,20to40,medium,adventurous,extrovert,Modernist,home,D
male,20to40,subtle,unadventurous,introvert,Oldfangled,party,B
male,40 or more,medium,adventurous,extrovert,Modernist,home,E
male,20to40,subtle,adventurous,introvert,Oldfangled,party,E
female,40 or more,subtle,adventurous,introvert,Oldfangled,home,D
male,10to20,strong,adventurous,extrovert,Oldfangled,home,D
male,40 or more,strong,adventurous,introvert,Oldfangled,workplace,B
male,10to20,subtle,unadventurous,extrovert,Oldfangled,home,E
female,20to40,medium,unadventurous,introvert,Modernist,party,D
male,20to40,strong,unadventurous,introvert,Oldfangled,home,A
female,40 or more,subtle,adventurous,extrovert,Oldfangled,home,B
male,10to20,strong,adventurous,introvert,Oldfangled,home,B
female,20to40,medium,unadventurous,introvert,Modernist,home,B
female,40 or more,strong,unadventurous,extrovert,Oldfangled,home,E
female,10to20,subtle,adventurous,introvert,Oldfangled,workplace,C
female,20to40,medium,adventurous,extrovert,Oldfangled,home,B
male,10to20,strong,adventurous,extrovert,Oldfangled,party,C
female,20to40,medium,unadventurous,extrovert,Modernist,party,C
female,20to40,strong,unadventurous,extrovert,Modernist,home,D
female,10to20,subtle,adventurous,introvert,Oldfangled,workplace,A
male,10to20,medium,adventurous,introvert,Oldfangled,workplace,D
male,40 or more,strong,adventurous,extrovert,Modernist,workplace,D
female,20to40,medium,unadventurous,extrovert,Modernist,party,A
male,40 or more,subtle,adventurous,introvert,Modernist,workplace,A
female,20to40,subtle,unadventurous,extrovert,Oldfangled,workplace,B
female,40 or more,strong,unadventurous,introvert,Modernist,home,E
male,20to40,subtle,unadventurous,introvert,Oldfangled,party,E
male,40 or more,subtle,adventurous,extrovert,Oldfangled,workplace,B
female,10to20,strong,unadventurous,introvert,Oldfangled,workplace,D
male,20to40,medium,unadventurous,introvert,Modernist,party,B
female,10to20,strong,adventurous,introvert,Oldfangled,party,C
male,10to20,medium,unadventurous,extrovert,Modernist,workplace,C
male,10to20,medium,unadventurous,introvert,Oldfangled,home,B
female,40 or more,medium,adventurous,introvert,Oldfangled,home,D
female,40 or more,subtle,unadventurous,introvert,Oldfangled,party,B
female,40 or more,subtle,adventurous,extrovert,Oldfangled,home,E
male,40 or more,medium,adventurous,introvert,Modernist,home,B
female,20to40,medium,unadventurous,introvert,Modernist,home,E
male,10to20,subtle,unadventurous,introvert,Oldfangled,party,D
male,40 or more,subtle,adventurous,introvert,Oldfangled,home,A
female,20to40,medium,adventurous,extrovert,Oldfangled,home,E
female,40 or more,strong,adventurous,introvert,Modernist,home,C
female,20to40,strong,adventurous,introvert,Oldfangled,workplace,C
male,10to20,subtle,unadventurous,introvert,Oldfangled,home,B
female,20to40,strong,adventurous,introvert,Modernist,workplace,D
female,20to40,medium,unadventurous,extrovert,Oldfangled,workplace,A
male,10to20,subtle,unadventurous,extrovert,Oldfangled,party,B
female,20to40,subtle,unadventurous,introvert,Oldfangled,party,D
male,40 or more,strong,adventurous,extrovert,Oldfangled,party,C
female,20to40,strong,adventurous,introvert,Oldfangled,workplace,A
female,20to40,subtle,unadventurous,extrovert,Oldfangled,workplace,E
male,40 or more,medium,adventurous,introvert,Oldfangled,workplace,D
female,40 or more,strong,unadventurous,extrovert,Oldfangled,party,B
female,10to20,medium,unadventurous,introvert,Modernist,home,A
female,20to40,strong,adventurous,extrovert,Modernist,party,B
male,10to20,medium,adventurous,extrovert,Modernist,workplace,A
male,40 or more,medium,unadventurous,extrovert,Modernist,workplace,C
male,10to20,strong,adventurous,extrovert,Modernist,workplace,B
male,40 or more,medium,adventurous,introvert,Modernist,home,E
female,20to40,subtle,unadventurous,introvert,Modernist,workplace,E
female,40 or more,strong,unadventurous,introvert,Modernist,party,B
male,20to40,strong,unadventurous,introvert,Oldfangled,party,C
female,10to20,subtle,adventurous,introvert,Oldfangled,workplace,D
female,20to40,subtle,adventurous,extrovert,Oldfangled,workplace,E
male,10to20,subtle,unadventurous,introvert,Oldfangled,home,E
male,10to20,strong,adventurous,extrovert,Oldfangled,party,D
male,20to40,medium,adventurous,extrovert,Modernist,home,B
female,20to40,medium,unadventurous,extrovert,Modernist,party,D
female,40 or more,medium,unadventurous,introvert,Modernist,home,A
female,40 or more,subtle,adventurous,introvert,Oldfangled,home,B
male,20to40,strong,unadventurous,introvert,Oldfangled,party,A
female,40 or more,strong,adventurous,introvert,Oldfangled,home,D
male,10to20,medium,adventurous,extrovert,Oldfangled,home,A
male,10to20,strong,adventurous,extrovert,Oldfangled,home,B
male,40 or more,strong,unadventurous,introvert,Modernist,home,A
female,20to40,medium,unadventurous,introvert,Modernist,party,B
female,20to40,subtle,unadventurous,introvert,Oldfangled,home,E
male,20to40,strong,adventurous,introvert,Modernist,workplace,C
male,20to40,subtle,unadventurous,extrovert,Modernist,home,C
female,40 or more,subtle,adventurous,extrovert,Modernist,workplace,A
female,20to40,subtle,adventurous,introvert,Modernist,workplace,C
female,10to20,subtle,unadventurous,introvert,Modernist,workplace,A
female,40 or more,strong,adventurous,extrovert,Oldfangled,home,B
male,40 or more,strong,unadventurous,extrovert,Oldfangled,home,B
female,20to40,medium,adventurous,extrovert,Modernist,workplace,A
female,20to40,strong,adventurous,introvert,Oldfangled,home,A
male,20to40,strong,adventurous,introvert,Modernist,workplace,A
female,20to40,strong,unadventurous,introvert,Modernist,workplace,C
female,10to20,strong,adventurous,introvert,Oldfangled,party,D
female,20to40,subtle,adventurous,introvert,Modernist,workplace,A
female,20to40,subtle,unadventurous,extrovert,Modernist,party,A
male,10to20,medium,unadventurous,extrovert,Modernist,workplace,D
male,10to20,strong,adventurous,extrovert,Modernist,workplace,E
male,10to20,medium,adventurous,introvert,Modernist,home,A
female,40 or more,medium,adventurous,introvert,Modernist,home,A
female,20to40,strong,unadventurous,extrovert,Modernist,home,B
male,40 or more,subtle,adventurous,extrovert,Modernist,workplace,A
male,20to40,subtle,adventurous,extrovert,Modernist,workplace,C
male,20to40,subtle,unadventurous,extrovert,Oldfangled,party,E
male,10to20,medium,adventurous,introvert,Oldfangled,workplace,B
female,10to20,medium,unadventurous,introvert,Oldfangled,party,A
male,40 or more,strong,adventurous,extrovert,Modernist,workplace,B
female,20to40,strong,unadventurous,introvert,Modernist,workplace,A
female,20to40,subtle,adventurous,introvert,Oldfangled,home,C
female,10to20,subtle,unadventurous,introvert,Oldfangled,home,A
female,40 or more,strong,adventurous,introvert,Modernist,home,D
male,40 or more,subtle,adventurous,introvert,Oldfangled,party,C
female,40 or more,subtle,adventurous,introvert,Oldfangled,home,E
male,20to40,strong,adventurous,extrovert,Modernist,workplace,A
female,10to20,strong,unadventurous,introvert,Modernist,home,A
female,40 or more,medium,unadventurous,extrovert,Modernist,home,D
female,20to40,subtle,adventurous,introvert,Oldfangled,home,A
male,10to20,strong,adventurous,extrovert,Oldfangled,home,E
male,40 or more,strong,adventurous,extrovert,Oldfangled,party,D
female,10to20,strong,unadventurous,introvert,Oldfangled,workplace,B
female,20to40,medium,unadventurous,introvert,Modernist,party,E
male,40 or more,subtle,adventurous,extrovert,Oldfangled,home,A
female,20to40,subtle,adventurous,extrovert,Oldfangled,home,E
female,20to40,strong,unadventurous,extrovert,Oldfangled,workplace,D
female,40 or more,medium,adventurous,introvert,Oldfangled,home,B
male,10to20,subtle,unadventurous,introvert,Oldfangled,party,B
male,20to40,strong,adventurous,extrovert,Oldfangled,home,A
female,10to20,strong,unadventurous,extrovert,Modernist,home,A
female,20to40,strong,unadventurous,extrovert,Modernist,home,E
male,40 or more,medium,unadventurous,extrovert,Modernist,workplace,D
male,40 or more,medium,adventurous,extrovert,Modernist,party,C
female,10to20,strong,adventurous,introvert,Oldfangled,home,E
male,10to20,medium,adventurous,introvert,Oldfangled,workplace,E
female,20to40,subtle,unadventurous,introvert,Oldfangled,party,B
male,40 or more,strong,adventurous,extrovert,Modernist,workplace,E
male,40 or more,medium,adventurous,introvert,Oldfangled,workplace,B
male,40 or more,medium,adventurous,extrovert,Modernist,party,A
male,20to40,subtle,adventurous,extrovert,Modernist,home,C
male,20to40,medium,unadventurous,extrovert,Oldfangled,party,A
female,10to20,medium,adventurous,extrovert,Modernist,home,C
female,40 or more,strong,adventurous,introvert,Modernist,workplace,B
female,40 or more,medium,unadventurous,introvert,Modernist,party,C
male,20to40,strong,adventurous,introvert,Modernist,workplace,D
male,20to40,subtle,unadventurous,extrovert,Modernist,home,D
male,10to20,medium,adventurous,extrovert,Oldfangled,party,C
female,20to40,subtle,adventurous,introvert,Modernist,workplace,D
female,40 or more,medium,unadventurous,introvert,Modernist,party,A
female,20to40,strong,adventurous,introvert,Modernist,workplace,E
female,20to40,strong,unadventurous,introvert,Modernist,workplace,D
female,40 or more,subtle,adventurous,introvert,Modernist,workplace,A
male,10to20,medium,adventurous,extrovert,Oldfangled,party,A
male,40 or more,strong,unadventurous,extrovert,Modernist,home,A
male,10to20,strong,adventurous,extrovert,Oldfangled,party,B
female,10to20,medium,adventurous,extrovert,Oldfangled,party,E
female,20to40,subtle,unadventurous,introvert,Oldfangled,party,E
female,40 or more,strong,adventurous,extrovert,Modernist,workplace,C
female,20to40,strong,adventurous,introvert,Oldfangled,party,C
female,40 or more,strong,adventurous,introvert,Oldfangled,home,B
male,20to40,subtle,adventurous,extrovert,Modernist,workplace,D
male,10to20,medium,adventurous,introvert,Modernist,party,C
female,40 or more,medium,adventurous,extrovert,Modernist,home,C
male,20to40,strong,unadventurous,extrovert,Oldfangled,workplace,C
male,40 or more,medium,adventurous,introvert,Oldfangled,workplace,E
female,20to40,subtle,adventurous,introvert,Oldfangled,home,D
female,40 or more,medium,adventurous,introvert,Modernist,party,C
male,40 or more,medium,unadventurous,extrovert,Oldfangled,home,C
female,20to40,strong,adventurous,introvert,Oldfangled,party,A
male,40 or more,subtle,adventurous,introvert,Oldfangled,party,D
female,20to40,subtle,adventurous,extrovert,Modernist,workplace,A
female,40 or more,subtle,adventurous,extrovert,Oldfangled,party,C
male,10to20,medium,adventurous,introvert,Modernist,party,A
female,40 or more,medium,adventurous,introvert,Modernist,party,A
female,20to40,medium,adventurous,extrovert,Oldfangled,party,C
female,10to20,subtle,adventurous,extrovert,Modernist,workplace,C
female,10to20,strong,adventurous,introvert,Oldfangled,party,B
female,10to20,strong,unadventurous,introvert,Modernist,party,C
male,10to20,medium,unadventurous,extrovert,Modernist,workplace,B
female,40 or more,subtle,adventurous,extrovert,Oldfangled,party,A
female,20to40,subtle,adventurous,introvert,Oldfangled,party,C
female,10to20,subtle,unadventurous,introvert,Oldfangled,party,A
female,20to40,medium,adventurous,extrovert,Oldfangled,party,A
female,10to20,subtle,adventurous,introvert,Oldfangled,workplace,E
female,40 or more,strong,adventurous,introvert,Modernist,home,B
male,10to20,medium,unadventurous,extrovert,Oldfangled,party,D
male,10to20,strong,adventurous,extrovert,Oldfangled,party,E
female,20to40,medium,unadventurous,extrovert,Modernist,party,E
male,40 or more,subtle,adventurous,introvert,Modernist,workplace,E
female,40 or more,medium,unadventurous,extrovert,Modernist,home,B
male,40 or more,subtle,adventurous,extrovert,Oldfangled,party,A
male,40 or more,medium,adventurous,extrovert,Modernist,party,D
female,10to20,subtle,adventurous,extrovert,Oldfangled,home,C
male,20to40,strong,adventurous,extrovert,Oldfangled,party,C
female,10to20,strong,unadventurous,extrovert,Modernist,party,C
male,40 or more,strong,adventurous,extrovert,Oldfangled,party,B
female,20to40,strong,unadventurous,extrovert,Oldfangled,workplace,B
male,10to20,medium,unadventurous,introvert,Oldfangled,party,C
female,40 or more,subtle,unadventurous,extrovert,Modernist,workplace,A
male,40 or more,medium,adventurous,introvert,Modernist,party,C
female,10to20,strong,unadventurous,extrovert,Modernist,party,A
male,20to40,subtle,adventurous,extrovert,Modernist,home,D
male,40 or more,subtle,adventurous,introvert,Oldfangled,home,E
female,10to20,strong,adventurous,introvert,Oldfangled,party,E
male,10to20,medium,unadventurous,extrovert,Modernist,workplace,E
male,40 or more,medium,adventurous,introvert,Modernist,party,A
female,10to20,medium,adventurous,extrovert,Modernist,home,D
female,40 or more,medium,unadventurous,introvert,Modernist,party,D
